as_of_date,competition,club,player,team_matches_last_3,appearances_last_3,appearance_pct_last_3,starts_last_3,start_pct_of_appearances_last_3,minutes_last_3,sot_last_3,avg_sot_per_team_match_last_3,avg_sot_per_appearance_last_3,median_sot_per_team_match_last_3,median_sot_per_appearance_last_3,std_sot_per_team_match_last_3,std_sot_per_appearance_last_3,hit_1plus_pct_team_match_last_3,hit_1plus_pct_appearance_last_3,hit_1plus_pct_last_3,hit_2plus_pct_team_match_last_3,hit_2plus_pct_appearance_last_3,hit_2plus_pct_last_3,hit_3plus_pct_team_match_last_3,hit_3plus_pct_appearance_last_3,hit_3plus_pct_last_3,sot_per_90_last_3,avg_sot_home_per_appearance_last_3,avg_sot_away_per_appearance_last_3,trend_sot_per_team_match_last_3,trend_sot_per_appearance_last_3,team_matches_last_5,appearances_last_5,appearance_pct_last_5,starts_last_5,start_pct_of_appearances_last_5,minutes_last_5,sot_last_5,avg_sot_per_team_match_last_5,avg_sot_per_appearance_last_5,median_sot_per_team_match_last_5,median_sot_per_appearance_last_5,std_sot_per_team_match_last_5,std_sot_per_appearance_last_5,hit_1plus_pct_team_match_last_5,hit_1plus_pct_appearance_last_5,hit_1plus_pct_last_5,hit_2plus_pct_team_match_last_5,hit_2plus_pct_appearance_last_5,hit_2plus_pct_last_5,hit_3plus_pct_team_match_last_5,hit_3plus_pct_appearance_last_5,hit_3plus_pct_last_5,sot_per_90_last_5,avg_sot_home_per_appearance_last_5,avg_sot_away_per_appearance_last_5,trend_sot_per_team_match_last_5,trend_sot_per_appearance_last_5,team_matches_last_10,appearances_last_10,appearance_pct_last_10,starts_last_10,start_pct_of_appearances_last_10,minutes_last_10,sot_last_10,avg_sot_per_team_match_last_10,avg_sot_per_appearance_last_10,median_sot_per_team_match_last_10,median_sot_per_appearance_last_10,std_sot_per_team_match_last_10,std_sot_per_appearance_last_10,hit_1plus_pct_team_match_last_10,hit_1plus_pct_appearance_last_10,hit_1plus_pct_last_10,hit_2plus_pct_team_match_last_10,hit_2plus_pct_appearance_last_10,hit_2plus_pct_last_10,hit_3plus_pct_team_match_last_10,hit_3plus_pct_appearance_last_10,hit_3plus_pct_last_10,sot_per_90_last_10,avg_sot_home_per_appearance_last_10,avg_sot_away_per_appearance_last_10,trend_sot_per_team_match_last_10,trend_sot_per_appearance_last_10,team_matches_last_15,appearances_last_15,appearance_pct_last_15,starts_last_15,start_pct_of_appearances_last_15,minutes_last_15,sot_last_15,avg_sot_per_team_match_last_15,avg_sot_per_appearance_last_15,median_sot_per_team_match_last_15,median_sot_per_appearance_last_15,std_sot_per_team_match_last_15,std_sot_per_appearance_last_15,hit_1plus_pct_team_match_last_15,hit_1plus_pct_appearance_last_15,hit_1plus_pct_last_15,hit_2plus_pct_team_match_last_15,hit_2plus_pct_appearance_last_15,hit_2plus_pct_last_15,hit_3plus_pct_team_match_last_15,hit_3plus_pct_appearance_last_15,hit_3plus_pct_last_15,sot_per_90_last_15,avg_sot_home_per_appearance_last_15,avg_sot_away_per_appearance_last_15,trend_sot_per_team_match_last_15,trend_sot_per_appearance_last_15,latest_date,latest_opponent,latest_venue,coverage_status
2026-09-15,LaLiga,FC Barcelona,Raphinha,3,3,100,3,100,265,5,1.667,1.667,1,1,0.943,0.943,100,100,100,33.333,33.333,33.333,33.333,33.333,33.333,1.698,3,1,-1,-1,5,5,100,5,100,406,9,1.8,1.8,1,1,0.98,0.98,100,100,100,40,40,40,40,40,40,1.995,2,1.667,-0.4,-0.4,10,7,70,6,85.714,495,14,1.4,2,1,1,1.356,1.195,70,100,100,30,42.857,42.857,30,42.857,42.857,2.545,2.25,1.667,0.109,-0.214,15,8,53.333,7,87.5,585,16,1.067,2,1,1.5,1.289,1.118,53.333,100,100,26.667,50,50,20,37.5,37.5,2.462,2.2,1.667,0.107,-0.143,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Fermín López,3,3,100,2,66.667,191,3,1,1,0,0,1.414,1.414,33.333,33.333,33.333,33.333,33.333,33.333,33.333,33.333,33.333,1.414,0,1.5,0,0,5,5,100,4,80,371,8,1.6,1.6,2,2,1.356,1.356,60,60,60,60,60,60,40,40,40,1.941,1.5,1.667,-0.4,-0.4,10,8,80,7,87.5,593,12,1.2,1.5,1,1.5,1.166,1.118,60,75,75,40,50,50,20,25,25,1.821,1.5,1.5,0.061,-0.024,15,13,86.667,12,92.308,907,16,1.067,1.231,1,1,1.062,1.049,60,69.231,69.231,33.333,38.462,38.462,13.333,15.385,15.385,1.588,1.143,1.333,0.057,0.077,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Lamine Yamal,3,3,100,3,100,245,8,2.667,2.667,2,2,0.943,0.943,100,100,100,100,100,100,33.333,33.333,33.333,2.939,2,3,0,0,5,5,100,5,100,399,11,2.2,2.2,2,2,1.327,1.327,80,80,80,80,80,80,40,40,40,2.481,2.5,2,0.5,0.5,10,5,50,5,100,399,11,1.1,2.2,0,2,1.446,1.327,40,80,80,40,80,80,20,40,40,2.481,2.5,2,0.394,0.5,15,9,60,9,100,704,14,0.933,1.556,0,2,1.289,1.343,40,66.667,66.667,33.333,55.556,55.556,13.333,22.222,22.222,1.79,1.6,1.5,0.164,0.367,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Ferrán Torres,3,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,5,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,10,4,40,2,50,216,4,0.4,1,0,1,0.663,0.707,30,75,75,10,25,25,0,0,0,1.667,2,0.667,-0.145,-0.2,15,8,53.333,4,50,451,9,0.6,1.125,0,1,0.952,1.053,33.333,62.5,62.5,20,37.5,37.5,6.667,12.5,12.5,1.796,1,1.25,-0.107,-0.083,2026-05-23,Valencia,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Marcus Rashford,3,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,5,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,10,4,40,3,75,272,2,0.2,0.5,0,0,0.6,0.866,10,25,25,10,25,25,0,0,0,0.662,2,0,-0.085,-0.2,15,9,60,4,44.444,435,7,0.467,0.778,0,0,0.806,0.916,26.667,44.444,44.444,20,33.333,33.333,0,0,0,1.448,1,0.6,-0.096,-0.1,2026-05-23,Valencia,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Karim Adeyemi,3,3,100,0,0,67,3,1,1,1,1,0.816,0.816,66.667,66.667,66.667,33.333,33.333,33.333,0,0,0,4.03,1,1,0.5,0.5,5,5,100,1,20,142,5,1,1,1,1,0.632,0.632,80,80,80,20,20,20,0,0,0,3.169,1,1,0.1,0.1,10,5,50,1,20,142,5,0.5,1,0,1,0.671,0.632,40,80,80,10,20,20,0,0,0,3.169,1,1,0.164,0.1,15,5,33.333,1,20,142,5,0.333,1,0,1,0.596,0.632,26.667,80,80,6.667,20,20,0,0,0,3.169,1,1,0.093,0.1,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Anthony Gordon,3,3,100,3,100,203,3,1,1,1,1,0.816,0.816,66.667,66.667,66.667,33.333,33.333,33.333,0,0,0,1.33,2,0.5,-1,-1,5,5,100,4,80,308,4,0.8,0.8,1,1,0.748,0.748,60,60,60,20,20,20,0,0,0,1.169,1,0.667,-0.1,-0.1,10,5,50,4,80,308,4,0.4,0.8,0,1,0.663,0.748,30,60,60,10,20,20,0,0,0,1.169,1,0.667,0.109,-0.1,15,5,33.333,4,80,308,4,0.267,0.8,0,1,0.573,0.748,20,60,60,6.667,20,20,0,0,0,1.169,1,0.667,0.068,-0.1,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Robert Lewandowski,3,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,5,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,10,5,50,4,80,368,3,0.3,0.6,0,1,0.458,0.49,30,60,60,0,0,0,0,0,0,0.734,0.5,0.667,-0.103,-0.1,15,8,53.333,6,75,515,4,0.267,0.5,0,0.5,0.442,0.5,26.667,50,50,0,0,0,0,0,0,0.699,0.333,0.6,-0.025,0.024,2026-05-23,Valencia,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Gerard Martín,3,2,66.667,2,100,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,4,80,4,100,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,80,8,100,675,1,0.1,0.125,0,0,0.3,0.331,10,12.5,12.5,0,0,0,0,0,0,0.133,0.333,0,-0.018,-0.036,15,13,86.667,13,100,1080,3,0.2,0.231,0,0,0.4,0.421,20,23.077,23.077,0,0,0,0,0,0,0.25,0.333,0.143,-0.032,-0.038,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,João Cancelo,3,2,66.667,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,80,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,90,3,33.333,332,1,0.1,0.111,0,0,0.3,0.314,10,11.111,11.111,0,0,0,0,0,0,0.271,0.25,0,-0.018,-0.017,15,14,93.333,7,50,650,3,0.2,0.214,0,0,0.4,0.41,20,21.429,21.429,0,0,0,0,0,0,0.415,0.286,0.143,-0.036,-0.037,2026-09-13,Levante,away,complete_l15_appearance_sot
