as_of_date,competition,club,player,team_matches,appearances,appearance_pct,starts,start_pct_of_appearances,minutes,sot_total,avg_sot_per_team_match,avg_sot_per_appearance,median_sot_per_team_match,median_sot_per_appearance,std_sot_per_team_match,std_sot_per_appearance,hit_1plus_pct_team_match,hit_2plus_pct_team_match,hit_3plus_pct_team_match,hit_1plus_pct_appearance,hit_2plus_pct_appearance,hit_3plus_pct_appearance,sot_per_90,avg_sot_home_per_appearance,avg_sot_away_per_appearance,trend_sot_per_team_match,trend_sot_per_appearance,latest_date,latest_opponent,latest_venue,coverage_status
2026-09-15,LaLiga,FC Barcelona,Raphinha,5,5,100,5,100,406,9,1.8,1.8,1,1,0.98,0.98,100,40,40,100,40,40,1.995,2,1.667,-0.4,-0.4,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Fermín López,5,5,100,4,80,371,8,1.6,1.6,2,2,1.356,1.356,60,60,40,60,60,40,1.941,1.5,1.667,-0.4,-0.4,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Lamine Yamal,5,5,100,5,100,399,11,2.2,2.2,2,2,1.327,1.327,80,80,40,80,80,40,2.481,2.5,2,0.5,0.5,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Ferrán Torres,5,0,0,0,,0,0,0,,0,,0,,0,0,0,,,,,,,0,,2026-05-23,Valencia,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Marcus Rashford,5,0,0,0,,0,0,0,,0,,0,,0,0,0,,,,,,,0,,2026-05-23,Valencia,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Karim Adeyemi,5,5,100,1,20,142,5,1,1,1,1,0.632,0.632,80,20,0,80,20,0,3.169,1,1,0.1,0.1,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Anthony Gordon,5,5,100,4,80,308,4,0.8,0.8,1,1,0.748,0.748,60,20,0,60,20,0,1.169,1,0.667,-0.1,-0.1,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Robert Lewandowski,5,0,0,0,,0,0,0,,0,,0,,0,0,0,,,,,,,0,,2026-05-23,Valencia,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Gerard Martín,5,4,80,4,100,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,João Cancelo,5,4,80,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Xavi Espart,5,5,100,5,100,439,2,0.4,0.4,0,0,0.49,0.49,40,0,0,40,0,0,0.41,0.5,0.333,0.1,0.1,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Dani Olmo,5,5,100,1,20,158,1,0.2,0.2,0,0,0.4,0.4,20,0,0,20,0,0,0.57,0.5,0,-0.1,-0.1,2026-09-13,Levante,away,complete_l15_appearance_sot
