as_of_date,competition,club,player,sot_last_3,avg_sot_last_3,sot_per_team_match_last_3,sot_last_5,avg_sot_last_5,sot_per_team_match_last_5,sot_last_10,avg_sot_last_10,sot_per_team_match_last_10,sot_last_15,avg_sot_last_15,sot_per_team_match_last_15
2026-09-15,LaLiga,FC Barcelona,Raphinha,5,1.667,1.667,9,1.8,1.8,14,1.4,1.4,16,1.067,1.067
2026-09-15,LaLiga,FC Barcelona,Fermín López,3,1,1,8,1.6,1.6,12,1.2,1.2,16,1.067,1.067
2026-09-15,LaLiga,FC Barcelona,Lamine Yamal,8,2.667,2.667,11,2.2,2.2,11,1.1,1.1,14,0.933,0.933
2026-09-15,LaLiga,FC Barcelona,Ferran Torres,0,0,0,0,0,0,4,0.4,0.4,9,0.6,0.6
2026-09-15,LaLiga,FC Barcelona,Marcus Rashford,0,0,0,0,0,0,2,0.2,0.2,7,0.467,0.467
2026-09-15,LaLiga,FC Barcelona,Karim Adeyemi,3,1,1,5,1,1,5,0.5,0.5,5,0.333,0.333
2026-09-15,LaLiga,FC Barcelona,Anthony Gordon,3,1,1,4,0.8,0.8,4,0.4,0.4,4,0.267,0.267
2026-09-15,LaLiga,FC Barcelona,Robert Lewandowski,0,0,0,0,0,0,3,0.3,0.3,4,0.267,0.267
2026-09-15,LaLiga,FC Barcelona,Gerard Martín,0,0,0,0,0,0,1,0.1,0.1,3,0.2,0.2
2026-09-15,LaLiga,FC Barcelona,João Cancelo,0,0,0,0,0,0,1,0.1,0.1,3,0.2,0.2
2026-09-15,LaLiga,FC Barcelona,Xavi Espart,1,0.333,0.333,2,0.4,0.4,2,0.2,0.2,2,0.133,0.133
2026-09-15,LaLiga,FC Barcelona,Andreas Christensen,0,0,0,0,0,0,2,0.2,0.2,2,0.133,0.133
2026-09-15,LaLiga,FC Barcelona,Dani Olmo,0,0,0,1,0.2,0.2,1,0.1,0.1,2,0.133,0.133
2026-09-15,LaLiga,FC Barcelona,Pedri,1,0.333,0.333,1,0.2,0.2,1,0.1,0.1,2,0.133,0.133
2026-09-15,LaLiga,FC Barcelona,Roony Bardghji,0,0,0,0,0,0,1,0.1,0.1,2,0.133,0.133
2026-09-15,LaLiga,FC Barcelona,Marc Bernal,1,0.333,0.333,1,0.2,0.2,1,0.1,0.1,1,0.067,0.067
2026-09-15,LaLiga,FC Barcelona,Jules Koundé,0,0,0,0,0,0,1,0.1,0.1,1,0.067,0.067
2026-09-15,LaLiga,FC Barcelona,Eric García,0,0,0,0,0,0,0,0,0,1,0.067,0.067
2026-09-15,LaLiga,FC Barcelona,Ronald Araújo,0,0,0,0,0,0,0,0,0,1,0.067,0.067
