date,competition,club,opponent,venue,sot
2026-03-22,LaLiga,FC Barcelona,Rayo Vallecano,home,4
2026-04-04,LaLiga,FC Barcelona,Atlético Madrid,away,8
2026-04-11,LaLiga,FC Barcelona,Espanyol,home,10
2026-04-22,LaLiga,FC Barcelona,Celta Vigo,home,3
2026-04-25,LaLiga,FC Barcelona,Getafe,away,4
2026-05-02,LaLiga,FC Barcelona,Osasuna,away,4
2026-05-10,LaLiga,FC Barcelona,Real Madrid,home,7
2026-05-13,LaLiga,FC Barcelona,Alavés,away,0
2026-05-17,LaLiga,FC Barcelona,Real Betis,home,9
2026-05-23,LaLiga,FC Barcelona,Valencia,away,4
2026-08-23,LaLiga,FC Barcelona,Elche,away,7
2026-08-27,LaLiga,FC Barcelona,Athletic Club,home,10
2026-08-31,LaLiga,FC Barcelona,Rayo Vallecano,home,9
2026-09-06,LaLiga,FC Barcelona,Valencia,away,10
2026-09-13,LaLiga,FC Barcelona,Levante,away,6
